id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track_popularity,artist_popularity,year,hit
1CnPYaKxTVb4LWOtiGOm0m,0.0584,0.617,217603,0.5670000000000001,0.0,0,0.0933,-4.188,1,0.0828,90.24600000000001,4,0.505,75,79.0,2017,1
4OZEu0Vwq0RB2LAq14v99n,0.0199,0.611,220573,0.7,0.0,9,0.0549,-5.331,1,0.0436,104.98100000000001,4,0.213,10,78.0,2017,1
5Ber68jZ7ytegr2UISEdb7,0.785,0.594,171093,0.389,0.0,10,0.0313,-7.109,1,0.0517,122.331,4,0.396,66,91.0,2017,1
6mw02h3qbWmuq2bJCRjRAe,0.17600000000000002,0.72,159212,0.789,6.4e-06,1,0.138,-5.255,1,0.33899999999999997,93.001,4,0.226,66,74.33333333333333,2017,1
71bBFbfn2OBK5QwUJSLS44,0.0274,0.642,203000,0.733,0.0,5,0.266,-5.001,0,0.0343,123.075,4,0.519,12,74.0,2017,1
70lnL3QaSOIIyMa2X9aVRL,0.187,0.75,195213,0.76,0.0,1,0.0548,-4.836,1,0.198,183.817,4,0.893,73,90.0,2017,1
6Pw3Gvw4wNMZfTYZa6IQal,0.00282,0.466,187787,0.659,0.0,2,0.273,-6.077000000000001,1,0.115,186.169,4,0.36,10,89.0,2017,1
46HdsiK0uR26B2dY9QPzda,0.39,0.732,196480,0.8009999999999999,0.0,9,0.31,-3.859,1,0.0327,123.98100000000001,4,0.8240000000000001,70,84.0,2017,1
2FRnf9qhLbvw8fu4IBXx78,0.18899999999999997,0.735,262960,0.478,2.48e-06,2,0.355,-12.472000000000001,1,0.0293,107.682,4,0.9470000000000001,81,82.0,2017,1
7tr2za8SQg2CI8EDgrdtNl,0.498,0.736,230813,0.795,1.21e-06,1,0.254,-3.299,0,0.0545,104.066,4,0.511,71,87.66666666666669,2017,1
7zVCrzzEJU7u24sbJPXA5W,0.00898,0.612,188253,0.799,0.0,10,0.172,-4.603,1,0.0275,125.976,4,0.687,77,77.0,2017,1
3YQUpKTmtgPJf8u6ooi9KA,0.11199999999999999,0.532,272394,0.9259999999999999,9.84e-06,2,0.318,-5.5360000000000005,1,0.0357,140.137,4,0.8140000000000001,28,86.0,2017,1
40oKW22ZNNkEdZLJTScaQI,0.0306,0.747,213132,0.524,0.0,10,0.2,-6.807,0,0.245,140.053,4,0.363,78,90.5,2017,1
20ZAJdsKB5IGbGj4ilRt2o,0.0998,0.721,226400,0.687,0.0,1,0.0679,-6.682,1,0.0782,175.91400000000002,4,0.825,9,98.0,2017,1
25khomWgBVamSdKw7hzm3l,0.0861,0.35600000000000004,242253,0.5670000000000001,0.0,0,0.13699999999999998,-7.011,0,0.0798,135.553,5,0.109,14,94.0,2017,1
06FCvd7rrRcF3DdvWH5Isp,0.193,0.6779999999999999,307880,0.562,0.0,3,0.10400000000000001,-9.197000000000001,0,0.508,94.241,4,0.5660000000000001,66,91.0,2017,1
