id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track_popularity,artist_popularity,year,hit
3E2Zh20GDCR9B1EYjfXWyv,0.13699999999999998,0.6729999999999999,201160,0.637,0.0,5,0.184,-4.518,1,0.0429,123.98,4,0.6779999999999999,55,79.0,2017,1
2Gl0FzuLxflY6nPifJp5Dr,0.197,0.633,193511,0.5920000000000001,0.0,0,0.099,-7.245,0,0.112,90.066,4,0.679,71,87.5,2017,1
0xl1w2q4VLojeXp4JfazPL,0.0407,0.903,307593,0.439,0.0,8,0.138,-11.813,1,0.397,139.112,4,0.532,65,92.0,2017,1
4BHzQ9C00ceJxfG16AlNWb,0.0415,0.69,223080,0.524,3.16e-06,6,0.17,-8.39,0,0.103,164.023,4,0.562,72,86.0,2017,1
50PWlIBU7PlGGwzgN8TiFJ,0.477,0.6679999999999999,205280,0.449,0.0,0,0.107,-7.897,1,0.0451,129.889,4,0.154,18,89.0,2017,1
5LYQSNHZxEA880URXFHg6h,0.588,0.499,264011,0.6759999999999999,0.00484,0,0.358,-8.618,0,0.0582,99.979,4,0.295,6,91.5,2017,1
3EmmCZoqpWOTY1g2GBwJoR,0.00383,0.647,198774,0.932,1.5e-06,11,0.0574,-3.515,1,0.0824,114.991,4,0.374,70,78.5,2017,1
2Ce5IyMlVRVvN997ZJjJJA,0.0303,0.415,251423,0.369,7.64e-06,8,0.383,-10.044,1,0.0741,95.746,4,0.0913,31,90.5,2017,1
4tERsdVCLtLtrGdFBf9DGC,0.052000000000000005,0.715,230880,0.742,2.47e-05,0,0.364,-4.331,1,0.0347,106.971,4,0.322,71,79.0,2017,1
6zLdXcmvIxnAXpz9sXFnIE,0.000907,0.612,227373,0.841,0.0,9,0.37,-3.795,0,0.0353,104.986,4,0.499,9,80.5,2017,1
05ZXXyeZFhZtA6DAP3Aw7x,0.11,0.7509999999999999,234366,0.8390000000000001,0.0,9,0.0865,-3.367,1,0.054000000000000006,95.019,4,0.639,66,69.5,2017,1
0gbBzIqrECJOEPvQJIBFs5,0.0162,0.616,234653,0.7140000000000001,1.23e-05,9,0.0817,-7.792000000000002,1,0.0982,128.924,4,0.24,14,80.0,2017,1
20dP2DaMHIAmwWAbp7peSr,0.114,0.711,252256,0.7390000000000001,0.0,7,0.226,-3.804,0,0.129,136.91899999999998,4,0.43,74,95.0,2017,1
5kRPPEWFJIMox5qIkQkiz5,0.746,0.4270000000000001,224867,0.262,0.0,7,0.068,-8.541,1,0.0276,104.085,4,0.228,78,89.0,2017,1
6E39QsoWB7JjphPF9xCQSN,0.117,0.65,268813,0.8009999999999999,0.000231,8,0.34700000000000003,-2.178,1,0.0694,124.123,4,0.35600000000000004,65,73.0,2017,1
54LGxQGf5LPXNGjtzDZ5IE,0.085,0.726,166707,0.5760000000000001,0.0,0,0.0458,-7.341,1,0.146,82.055,4,0.7829999999999999,59,86.5,2017,1
1uL78kFWxhz3umTMWJu8n5,0.0715,0.813,207039,0.528,0.0,6,0.125,-6.305,0,0.313,79.532,4,0.131,72,89.0,2017,1
4iYRa2btalAzPZoSYfROqF,0.138,0.568,254200,0.619,1.67e-06,1,0.11,-6.899,1,0.414,170.115,4,0.293,68,87.0,2017,1
4xlrALxuaCf9yZBHJeTSG6,0.113,0.741,184134,0.79,0.0,11,0.0542,-4.086,0,0.0469,104.043,4,0.528,20,77.5,2017,1
6Nle9hKrkL1wQpwNfEkxjh,0.8740000000000001,0.7759999999999999,210285,0.503,0.0,0,0.112,-5.732,0,0.237,110.134,4,0.473,84,88.0,2017,1
7FfpP3YZ6fOWMdxkIAtud9,0.0668,0.708,230520,0.56,0.0,9,0.111,-7.1320000000000014,1,0.129,163.043,4,0.411,67,90.0,2017,1
2oUuLLKS8WbF7ELJcwbqms,0.043,0.728,151041,0.735,0.0,1,0.34,-3.961,1,0.307,139.128,4,0.225,0,95.0,2017,1
3pzjHKrQSvXGHQ98dx18HI,0.59,0.845,205680,0.5670000000000001,0.0014199999999999998,5,0.0811,-8.118,0,0.0956,125.02,4,0.7929999999999999,15,95.0,2017,1
000xQL6tZNLJzIrtIgxqSl,0.131,0.748,188491,0.627,0.0,7,0.0852,-6.029,1,0.0644,120.963,4,0.524,67,84.5,2017,1
2FBUoWkIuQXwayw2RNo5l6,0.0034700000000000004,0.903,267067,0.62,0.000119,2,0.0504,-8.094,1,0.0587,134.96,4,0.539,11,98.0,2017,1
1D3ODoXHBLpdxolZRHWV1j,0.0778,0.696,201254,0.743,0.0,6,0.0581,-3.838,1,0.0331,122.978,4,0.644,10,80.5,2017,1
1CKd1PnqfYx0H12V9MSaIY,0.0215,0.716,204583,0.917,7.91e-06,1,0.0515,-3.674,1,0.0527,107.969,4,0.501,8,83.5,2017,1
0VJYhKhrHgJ7fgjGaC2k07,0.461,0.597,50748,0.113,0.000393,0,0.14800000000000002,-34.475,1,0.954,81.311,5,0.313,60,95.0,2017,1
042x9bsUBWW2fJgJ6fUh61,0.0933,0.713,196307,0.733,2.23e-05,6,0.237,-6.431,1,0.152,108.992,4,0.502,41,58.66666666666666,2017,1
5Z01UMMf7V1o0MzF86s6WJ,0.00868,0.6920000000000001,326467,0.7440000000000001,0.000423,2,0.359,-4.565,1,0.257,171.37400000000005,4,0.0612,78,94.0,2017,1
4yN6xPLopmTLvc27pO9LIE,0.204,0.685,221027,0.731,0.0,5,0.0722,-5.119,0,0.093,177.912,4,0.7859999999999999,70,89.5,2017,1
7bsnTsbiwOymZWjPF9v6Di,0.0098,0.922,261615,0.583,0.0,5,0.0962,-4.982,1,0.0753,136.043,4,0.494,69,82.5,2017,1
