,acousticness,artist_popularity,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,year,hit
37,0.0352,45.0,0.622,194280,0.734,1wTGAYKtiXqvv3Ygk4AH51,5.23e-05,3,0.211,-6.666,1,33,0.0362,115.807,4,0.869,2019,0
38,0.0173,39.0,0.734,50933,0.698,5Plb8xps8VZRF2sXlrPi3Q,0.0,11,0.182,-3.923,1,11,0.143,124.858,4,0.967,2004,0
39,0.996,61.0,0.425,120907,0.0612,5JwtahJeHWFPETXjxBH74B,0.908,7,0.107,-17.481,1,20,0.0496,77.466,3,0.145,2011,0
40,0.0752,65.0,0.688,192866,0.706,0TF3F5Lw5apoD1zvR8LikO,0.0,2,0.0924,-7.925,1,65,0.042,131.705,4,0.842,1999,0
41,0.876,57.0,0.527,216173,0.283,1I9dSqB5XSdwOfn9M8zpRg,0.000142,5,0.106,-11.962,1,60,0.0367,114.954,4,0.283,2013,0
42,0.000204,34.0,0.397,248785,0.986,1av0mpB1cI5Jl7FYSkZ6my,5.09e-05,1,0.331,-5.234,1,1,0.158,139.856,4,0.128,2019,0
43,0.0672,37.0,0.399,215293,0.562,29MB2RRm3ZAITHKDLc455C,0.701,2,0.0818,-10.836,1,38,0.0436,173.079,4,0.421,2019,0
44,0.732,82.0,0.428,280000,0.276,3oEHQmhvFLiE7ZYES0ulzv,5.33e-06,4,0.117,-11.729,1,66,0.0312,99.195,1,0.0382,1997,0
45,0.317,95.0,0.652,312426,0.549,6u0dQik0aif7FQlrhycG1L,0.0,6,0.104,-7.555,0,72,0.039,120.073,4,0.186,2012,0
46,0.00106,58.0,0.813,232466,0.59,79lmvU7Qmc8QpXilbSk37z,5.07e-05,8,0.0809,-8.998,1,53,0.378,159.961,4,0.602,2004,0
47,0.0678,61.5,0.753,249160,0.353,6KbuhVL2TmxnBrrbJD4qXv,0.000587,6,0.0917,-10.935,0,56,0.0428,132.0,4,0.237,2019,0
