id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track_popularity,artist_popularity,year,hit
1z5caKH6SJoofqTGVy17HY,0.932,0.47,253000,0.112,0.0,11,0.113,-15.147,1,0.0377,125.496,4,0.183,60,59.0,2018,0
2RORNOS5sDvSXwHbOOh1xV,0.267,0.524,167312,0.959,0.000729,2,0.712,-3.408,1,0.0587,74.969,4,0.148,41,37.0,2018,0
38n8scVMRubWOn1rIN2hfr,0.0243,0.489,152906,0.843,0.033,0,0.106,-4.534,0,0.161,159.941,4,0.355,37,38.0,2018,0
6WFN2f7IptgrM2QA9LPtaE,0.943,0.417,240080,0.185,0.0325,4,0.0797,-13.315,1,0.0327,145.906,4,0.138,40,65.0,2017,0
6v0bOBKwDxzpkXhoi14FpN,0.13,0.286,222146,0.837,0.0,7,0.234,-3.267,0,0.0758,165.07,4,0.158,55,48.0,2019,0
0eLCcBWdvRM6yJSKMte1cj,0.0066,0.53,220346,0.807,1.24E-05,5,0.0981,-5.768,1,0.0854,153.357,4,0.81,1,45.0,2017,0
5a05aVwOrDu2LxGBoFZt6A,0.175,0.875,395400,0.908,0.0,0,0.0942,-0.51,0,0.0698,109.969,4,0.813,50,43.0,2019,0
4UmFBsrFvdjsc3Z3SoljRz,0.547,0.41,221817,0.658,2.36E-05,2,0.113,-6.502,0,0.0734,164.024,4,0.234,48,57.0,2019,0
6W62ieUxxt94f4XAlA3GFI,0.00454,0.441,176626,0.936,0.0,5,0.836,-6.699,1,0.15,112.383,4,0.205,43,48.0,2017,0
2FAuYxoBBuYOErsr5R6YoW,0.806,0.708,170686,0.551,0.000453,11,0.058,-9.737,0,0.0459,89.949,4,0.819,50,67.0,2018,0
5H7Z2DdWYT9ctLSuKzqkSb,0.315,0.566,202576,0.589,0.0,7,0.166,-8.295,0,0.0337,139.732,4,0.556,58,69.0,2017,0
4zoCjQ2VnSlgg65FDrTr5a,0.105,0.632,283866,0.575,3.59E-05,5,0.158,-7.358,1,0.0354,106.953,3,0.689,40,43.0,2016,0
0GFo4VK8iBIA85ZhNCfmV8,0.625,0.567,121764,0.481,3.33E-06,4,0.0856,-11.706,1,0.222,135.795,3,0.486,14,11.5,2019,0
0DyLx2e55tlX9ppJioBk3X,0.262,0.727,219312,0.924,3.67E-06,0,0.487,-3.787,0,0.0535,107.973,4,0.844,45,43.0,2019,0
64BxhMTsd59rugHkQw6I6O,0.139,0.922,191250,0.926,0.0,3,0.175,-2.067,1,0.0467,128.015,4,0.949,44,34.5,2019,0
7JrNYrzDs24TQwxLsTU88c,0.0255,0.634,217451,0.779,0.00103,9,0.342,-6.607,1,0.0361,82.003,4,0.562,19,53.0,2018,0
4rhoMTIoLqDyoEPSKlGUeo,0.784,0.417,199838,0.309,0.0,0,0.114,-8.665,1,0.0447,77.693,4,0.416,21,25.0,2019,0
0NJ1LV5VblYyJsJt3EbAx7,0.888,0.562,213666,0.282,0.00297,10,0.0812,-11.956,1,0.0302,127.964,4,0.172,64,60.0,2018,0
6qNB2ChCVPepl5ZjVJJTUW,0.00459,0.772,167317,0.637,0.0,2,0.0778,-6.881,1,0.114,149.906,4,0.54,82,71.0,2019,0
0KmiXlCv8005j9o340PW4e,0.134,0.593,275017,0.871,5.06E-05,0,0.271,-7.698,0,0.309,176.04,4,0.728,37,41.0,2019,0
0E0aHF7AnmeMNIAb7GJSQa,0.455,0.422,231693,0.475,0.0,11,0.144,-5.949,1,0.0369,167.647,4,0.289,52,70.0,2018,0
46lKF7Q9AUWeQEHM9XuEGe,0.805,0.739,255669,0.234,0.0066,9,0.107,-13.378,1,0.11,87.456,4,0.726,48,60.5,2019,0
5b3H9J71t73nzr73pvEWrC,0.639,0.741,351418,0.657,0.0,1,0.104,-5.564,0,0.054,90.954,4,0.778,2,38.0,2016,0
6c1r9Vdso5n3QjGMBTNpFh,0.754,0.297,239957,0.413,0.233,9,0.104,-11.869,1,0.0359,69.498,4,0.352,47,74.0,2018,0
1Awxlujr2gHvwi1XpDziMb,0.0642,0.759,175924,0.804,0.0,4,0.437,-5.583,0,0.0885,101.007,4,0.391,48,43.0,2019,0
1Awj73E7Zc3Yc7KwPFYJef,0.0771,0.559,284924,0.878,0.0,6,0.366,-5.379,0,0.0418,164.004,4,0.92,41,39.0,2019,0
2Hlyx4kEbNZRgNgGlwNlU0,0.58,0.599,188866,0.438,0.0,9,0.234,-9.137,0,0.0292,109.956,4,0.309,11,40.0,2019,0
4KScM5GlY3D0xoPtydnXrQ,0.203,0.605,275346,0.726,4.41E-05,11,0.0737,-6.621,1,0.205,171.73,4,0.771,41,54.0,2018,0
1lHFLVG6bKH5mA9tiDxN5M,0.251,0.565,241400,0.7,0.0,4,0.271,-5.748,0,0.051,94.972,4,0.546,70,67.75,2019,0
2ITbC6v8GHxn33LT4Qq4ym,0.381,0.395,232600,0.701,0.000171,2,0.116,-4.128,1,0.0804,200.991,4,0.852,42,42.0,2017,0
2YG9XwTOEWUj0BhiU5XgpL,0.155,0.74,212777,0.838,0.0,2,0.289,-3.806,0,0.0812,107.978,4,0.68,50,50.0,2019,0
634M5YM3C65bHCJ0y4ZEnG,0.104,0.72,175152,0.519,0.0,10,0.0973,-6.652,0,0.0371,130.03,4,0.446,51,56.0,2018,0
2wBUG8atVqUWfBI1zTGQUw,0.512,0.695,219920,0.691,0.0828,11,0.334,-10.715,0,0.0282,136.939,4,0.939,26,31.0,2016,0
5dlRfWgS04e8n5oVbLJ7Q8,0.125,0.615,269083,0.472,0.0,5,0.115,-8.638,0,0.0312,107.217,4,0.46,34,51.0,2019,0
1vevBksiqjLNvrCCaVeSAq,0.0247,0.583,212766,0.653,0.7,0,0.0367,-10.77,0,0.0458,173.076,4,0.973,40,45.0,2019,0
1ZNPX01Q2RMjwoAZymgVpx,0.000828,0.607,408000,0.869,2.83E-05,7,0.0797,-7.327,1,0.0449,118.998,4,0.852,36,46.0,2019,0
0AL7fmMtY7HI7TghEWtAKx,0.537,0.427,261013,0.704,0.000104,1,0.144,-8.635,1,0.0467,176.2,4,0.705,53,70.0,2018,0
1Eo8Ty067B01B7GETiZdgy,0.0798,0.852,185680,0.833,2.09E-06,2,0.111,-3.959,1,0.0696,84.007,4,0.616,71,80.0,2019,0
5NS7zy7Q1Ns9GFFULYYU9F,0.0943,0.277,218226,0.98,0.0,11,0.117,-1.843,1,0.0619,166.032,4,0.357,32,38.0,2016,0
1m9VnaH1Z9I5uGOqvLhRx2,0.346,0.701,337853,0.424,0.000203,9,0.258,-7.012,1,0.0414,75.529,4,0.437,38,34.0,2016,0
73wc2tw4DxWLL1F20rSVgr,0.205,0.401,190098,0.713,0.000129,3,0.099,-8.418,0,0.159,132.017,4,0.522,26,57.0,2019,0
2xpwxgIgOMuEuSLOdDZN02,0.897,0.505,233814,0.381,1.1E-06,0,0.0895,-6.255,1,0.0352,86.216,4,0.482,41,46.0,2018,0
2FygRDP2PuxcvWGGyf3nao,0.766,0.826,130588,0.409,0.625,11,0.101,-10.69,0,0.113,135.987,4,0.469,63,61.0,2019,0
27XHeqPhqshi7zFV8dNDTg,0.473,0.462,281887,0.481,0.0,6,0.382,-5.521,0,0.0937,161.767,4,0.462,49,39.0,2019,0
3t5z0GJujIwvfvxwRjPug0,0.535,0.641,226773,0.422,1.48E-05,11,0.164,-7.887,1,0.0316,75.007,4,0.589,0,44.0,2016,0
20rztDEfgrFOuHDhAeVDt3,0.548,0.356,254329,0.382,0.0319,7,0.118,-7.736,1,0.0606,138.281,3,0.232,33,47.0,2017,0
2opSOuPVBo9L3TO6KhHvlA,0.16,0.712,219627,0.771,0.000586,7,0.198,-5.865,1,0.0373,80.018,4,0.753,8,18.0,2019,0
0xKa35B78RaG6oZ16wvOcG,0.768,0.691,242700,0.48,0.00531,4,0.111,-9.882,1,0.0244,82.988,4,0.62,10,46.0,2018,0
47rNYq9IUveetu35c65xTw,0.85,0.609,200435,0.489,0.0,9,0.104,-6.001,0,0.0424,115.902,4,0.567,64,81.0,2018,0
2E57cH3XGWL2PdpBARp9Yd,0.227,0.827,250200,0.709,0.0,2,0.12,-3.876,0,0.0483,100.028,4,0.73,51,53.0,2019,0
3HJdVPapi1uQJsbdzz4akB,0.0403,0.867,186000,0.542,0.0,0,0.0754,-9.266,1,0.0708,99.959,4,0.619,52,42.0,2019,0
1WOegnCAeQQAnRZQgb4Fpm,0.31,0.769,214230,0.719,2.17E-05,3,0.321,-6.117,0,0.162,144.024,4,0.817,39,28.0,2019,0
4wbLYn8eKiW46ZisorkhDf,0.128,0.676,220240,0.721,0.000984,9,0.111,-7.498,0,0.0389,123.858,4,0.965,3,68.5,2016,0
0XoKwViOafkIMd2qE1wfqO,0.587,0.473,247228,0.212,0.00737,9,0.116,-16.227,0,0.0409,117.791,4,0.175,36,74.0,2017,0
