,acousticness,artist_popularity,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,year,hit
37,0.00043,75.0,0.439,167773,0.86,2jnvdMCTvtdVCci3YLqxGY,1.68e-05,11,0.0783,-4.824,0,6,0.168,159.821,4,0.578,2010,0
38,0.741,54.0,0.458,158640,0.853,0D9J4MkQVyn1690CBqLx4u,0.0215,9,0.0851,-8.575,1,3,0.139,202.509,4,0.671,1994,0
39,0.606,89.0,0.673,285520,0.61,6WSBZroxQaO3FYEpT2ACFH,0.0177,4,0.116,-8.386,0,64,0.191,152.062,4,0.759,2016,0
40,0.033,67.0,0.551,226640,0.896,4faFAhOflLzhfJECveRwva,0.0,9,0.0899,-3.152,0,58,0.109,171.79,4,0.858,2005,0
41,0.00872,62.0,0.743,123936,0.311,5qUDYpihgX7UkBs15219WT,0.525,1,0.11,-13.114,1,40,0.224,77.49,4,0.595,2019,0
42,0.00933,88.0,0.689,239773,0.929,4MtDnnAJ1AtWit10FRmZdW,0.0,5,0.548,-2.76,0,55,0.0608,130.899,4,0.609,2005,0
43,0.134,82.5,0.702,210590,0.614,1CVAENDG5VY05pEHh0ViXL,0.00391,0,0.173,-4.385,1,67,0.0786,155.173,4,0.047,2018,0
44,0.411,78.0,0.879,315693,0.566,6vZdRrueM9ZEJjx6EWe1XQ,0.000128,11,0.0794,-8.789,1,13,0.0364,114.006,4,0.673,2014,0
45,0.000118,63.0,0.279,232720,0.802,7EdBtVB7W6k4uoWQBiIZoP,0.52,4,0.0561,-6.225,1,31,0.0543,176.075,4,0.321,2006,0
46,0.003,87.0,0.756,245520,0.829,1wva1IlWLDNLgwipUWcmjy,3.46e-05,11,0.0578,-3.973,1,56,0.0682,120.163,4,0.504,2007,0
47,0.0161,81.0,0.68,249533,0.687,1IAzD1muglOxOcPbUHs70R,0.0,9,0.261,-6.162,0,76,0.0709,150.053,4,0.467,2008,0
48,0.147,88.0,0.629,32800,0.883,3rRVin6FiTufCASEuTNVYM,0.0,8,0.153,-4.547,1,0,0.0794,124.168,4,0.396,2010,0
49,0.525,79.0,0.67,147146,0.365,2dR5WkrpwylTuT3jRWNufa,0.0,0,0.0575,-10.158,1,66,0.0564,119.342,4,0.45,2015,0
50,0.0036,84.0,0.685,150409,0.53,23QyE9GQpXsX9WgEDADMa6,0.0,11,0.573,-5.298,1,64,0.286,157.012,4,0.55,2017,0
51,0.111,88.0,0.554,162600,0.978,2uxL6E8Yq0Psc1V9uBtC4F,0.0,4,0.0731,-3.554,1,58,0.131,135.095,4,0.594,2003,0
52,0.0158,91.66666666666667,0.833,246915,0.761,2U3LJfQB0ALLxC7Yy0QW7l,1.41e-06,11,0.161,-4.905,1,56,0.195,134.047,4,0.377,2019,0
53,0.000264,82.0,0.413,218933,0.873,0snQkGI5qnAmohLE7jTsTn,0.0025,8,0.204,-4.151,1,80,0.0535,116.681,3,0.481,2001,0
54,0.000273,62.0,0.469,174440,0.922,0NdrF1zWcuK3Truu6ZNcJD,2.15e-05,7,0.351,-3.574,1,29,0.062,136.994,4,0.287,2009,0
55,0.0312,87.0,0.394,241120,0.921,2xGTktpqW2FXOtcVBijqJ2,9.65e-06,7,0.355,-1.823,0,48,0.0473,166.897,4,0.532,2011,0
56,0.0692,84.0,0.74,544626,0.682,0oks4FnzhNp5QPTZtoet7c,0.53,9,0.381,-10.42,0,63,0.0504,113.201,4,0.41,2013,0
57,0.00338,69.0,0.553,243933,0.936,5EQ9yEra0SzVd673ZfKT4C,1.35e-06,9,0.102,-5.015,1,12,0.11,144.884,4,0.412,2015,0
58,0.125,86.0,0.799,254962,0.698,4YrS33mjBWWchoLJTkAKwt,0.0,9,0.0778,-5.947,0,65,0.169,121.998,4,0.799,2019,0
59,0.0275,80.0,0.616,219973,0.728,0cV4xwUA4ue2deqq4CZFko,0.0,9,0.228,-4.02,0,66,0.0278,111.934,4,0.375,2011,0
60,0.482,56.0,0.641,185466,0.68,1IZwCzAmaFmmdJj0cmhaax,0.0,0,0.101,-7.64,1,66,0.23,146.116,4,0.574,2016,0
61,9.52e-05,44.0,0.66,240196,0.896,2ljkrYRtQW3pAEwDbVQb9S,0.891,2,0.222,-6.003,0,44,0.0433,124.033,4,0.976,2010,0
62,0.241,64.0,0.672,215173,0.623,38YgZVHPWOWsKrsCXz6JyP,0.0,9,0.0848,-5.699,1,73,0.0297,92.018,4,0.617,2007,0
63,0.000614,53.0,0.551,247280,0.825,1zXpHPdBAUxnOCQqFMFLk3,0.307,2,0.115,-5.813,1,56,0.0306,107.031,4,0.686,2016,0
64,0.0541,50.0,0.414,216146,0.578,6avyV3xlz2UFeiAUZ0SqyT,0.0,8,0.124,-6.383,1,54,0.0287,154.96,3,0.281,2008,0
65,0.258,86.0,0.529,238000,0.948,5XRHGXut00SrJUFmcn2lQF,9.35e-06,0,0.283,-3.527,1,65,0.0474,146.024,4,0.65,2009,0
66,0.265,63.0,0.72,150358,0.626,3nn7OPFCwHblA3BUIip8gd,0.0,1,0.327,-9.2,1,20,0.0493,115.023,4,0.302,2016,0
67,0.0298,78.0,0.616,196111,0.669,1faIb3PPSzEifCHUOJ691R,0.0,1,0.127,-5.791,1,75,0.32,154.056,4,0.275,2019,0
68,0.00036,75.0,0.519,227626,0.814,39c3w5fKJ4AcFJHYWUoooX,0.0149,7,0.698,-6.052,1,0,0.0261,145.177,4,0.51,2004,0
69,0.0331,78.0,0.308,254880,0.769,2stPxcgjdSImK7Gizl8ZUN,0.0,11,0.214,-7.256,0,60,0.065,81.853,4,0.488,2014,0
70,0.369,80.0,0.44,185333,0.506,0AosnSuC2OxvOfnRO41ZSb,0.0,7,0.282,-5.446,1,30,0.0667,117.988,4,0.351,2009,0
71,0.264,75.0,0.544,235746,0.459,1i5c5PXgKEBQbMTgaIQwqn,0.16,5,0.179,-8.821,1,33,0.0264,129.058,3,0.195,2004,0
72,0.203,45.0,0.884,164064,0.443,3e5Ffop8U5tLpOF4PCjCT9,0.0,2,0.312,-11.442,1,58,0.74,119.955,4,0.175,2019,0
73,0.00222,48.0,0.414,239800,0.784,3GU3cgve2Tzbrxmjs121uE,0.0,0,0.353,-4.321,1,34,0.0353,134.013,4,0.361,2006,0
74,0.0939,75.0,0.305,375866,0.776,3hoUASQwAAUwpQGXH8VioM,0.000124,10,0.728,-4.45,0,46,0.118,169.161,3,0.328,2002,0
75,0.0315,81.0,0.625,230426,0.877,2bfGNzdiRa1jXZRdfssSzR,0.0811,10,0.672,-7.176,0,67,0.162,192.296,4,0.865,2005,0
76,0.0276,57.5,0.796,201750,0.623,0sTgHAn5mxtQXeb1BsLSKC,0.0,7,0.217,-3.156,1,61,0.148,80.036,4,0.26,2018,0
77,0.402,17.0,0.558,249230,0.363,1aVpKLN7iPYJMi4FGaYYCa,0.0,0,0.11,-7.493,0,7,0.15,102.271,3,0.154,2018,0
78,0.00177,70.0,0.759,180982,0.474,0sZbpeW4jE10nim44g55rw,1.27e-06,1,0.218,-7.821,1,39,0.2,150.059,3,0.185,2019,0
79,0.0339,86.66666666666667,0.767,222586,0.677,3hsmbFKT5Cujb5GQjqEU39,5.51e-06,11,0.144,-6.128,0,74,0.184,146.155,4,0.538,2011,0
80,0.689,51.0,0.796,160114,0.495,6PAr1wwpxJQhHn2c6wKN4O,0.0,8,0.107,-9.895,0,50,0.251,120.001,4,0.506,2019,0
81,0.000692,80.33333333333333,0.899,204787,0.448,1ung2kajpw24AaHjBtPY3j,2.36e-05,1,0.365,-8.789,1,66,0.0738,145.975,4,0.302,2018,0
82,0.00193,76.0,0.45,214706,0.883,663Karu2rvKLdnY0eo1n3M,0.0,7,0.293,-4.094,1,67,0.0524,93.41,4,0.328,2006,0
83,0.243,87.0,0.694,261466,0.602,6GhCgeJo1rY8VWppJZta38,1.03e-05,0,0.124,-5.411,0,49,0.035,112.735,4,0.413,2011,0
84,0.0797,62.0,0.455,179549,0.898,5kOPDvWmYWTAhv5sve6Obf,0.0,10,0.156,-3.676,1,28,0.196,168.097,4,0.65,2014,0
85,0.455,73.0,0.552,141493,0.957,6TD08uig72h348vwgry0kq,0.000161,7,0.0665,-5.0,1,4,0.108,136.975,4,0.533,2009,0
86,0.00135,80.0,0.446,223840,0.764,0gmbgwZ8iqyMPmXefof8Yf,0.0,10,0.099,-5.042,1,79,0.033,172.094,4,0.543,2001,0
87,0.202,59.0,0.644,110453,0.651,3Ctr4Ptw4fpbMKEuL7Zawc,0.000457,2,0.247,-7.393,1,41,0.0578,90.006,4,0.705,2011,0
88,0.00272,80.0,0.517,211520,0.906,6SpLc7EXZIPpy0sVko0aoU,9.26e-06,1,0.113,-3.677,1,72,0.0735,172.977,4,0.731,2007,0
89,0.0902,71.0,0.558,227040,0.867,1UveyJanND5TdsO87bI32l,0.0,7,0.378,-6.439,1,48,0.0449,163.213,4,0.942,2014,0
90,0.819,35.5,0.806,162680,0.191,3rLLRKNc2HvE4hkMYRe1RE,0.0,5,0.0579,-9.527,1,17,0.0517,109.802,4,0.551,2011,0
91,8.01e-06,76.0,0.556,220933,0.734,6dpWbwQ4ZGNSW6q4yKCiRZ,0.00102,4,0.32,-6.337,0,46,0.0398,134.949,4,0.335,2004,0
92,0.0725,62.0,0.495,217689,0.917,2IHis3G514vLfCnJUjkW21,0.0,7,0.192,-3.142,1,33,0.116,95.153,4,0.515,2014,0
