Unnamed: 0,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,track_popularity,artist_popularity,year,hit
499,0bYiHGOcXqFaxa0H6ru88X,0.708,0.135,301409,0.274,0.386,9,0.0921,-14.241,1,0.0409,83.829,4,0.0377,56,64.6666666666667,2019,0
501,24pcvmZ7JLDg4NDqVtblrO,5.48e-06,0.424,185649,0.946,0.8959999999999999,1,0.068,-4.907,1,0.117,77.013,4,0.395,46,55.0,2019,0
504,3LZ0GUgBO1XXW6jKK5A2lJ,0.9,0.518,375093,0.0493,0.879,9,0.349,-26.565,0,0.0346,61.908,4,0.16,15,45.0,2018,0
505,34U3BxVvGWuqT2Lg93v6M9,3.41e-05,0.496,252840,0.984,0.000335,11,0.368,-3.899,0,0.136,107.48,4,0.247,0,17.0,2019,0
506,12scv4bf1LsuhddEl4o1Ke,3.09e-05,0.393,313600,0.948,0.0,7,0.28300000000000003,-5.76,1,0.16699999999999998,150.108,4,0.449,30,31.0,2019,0
510,7i894i4ehxZ19i2c50tP1D,0.0377,0.6409999999999999,234666,0.828,7.22e-06,2,0.35700000000000004,-12.08,1,0.083,119.992,4,0.399,43,37.0,2019,0
516,3SYEnj7zmJYTfO71JZLsqa,0.985,0.129,271893,0.00247,0.885,5,0.0749,-35.225,1,0.0454,74.232,4,0.205,0,37.3333333333333,2019,0
518,3gn4pWyREranTihlNNAr4Y,0.00256,0.527,216910,0.98,3.34e-06,9,0.0977,-3.78,0,0.117,139.996,4,0.417,3,25.0,2019,0
519,0rl0t8BwHP1GIIEyC5DN4Q,0.000216,0.446,232634,0.935,0.00474,10,0.256,-4.441,0,0.0915,109.988,4,0.189,42,40.0,2019,0
521,3O2gpEXz5HZ5uTxeeRE1M1,0.00272,0.845,149092,0.446,0.000432,7,0.328,-9.866,1,0.365,160.091,4,0.8009999999999999,63,70.0,2019,0
522,0tXa6nUMhBUB96DZcNatcO,0.000181,0.29100000000000004,261406,0.785,0.000152,9,0.206,-4.561,0,0.0443,109.924,3,0.387,32,33.0,2019,0
525,00fqV46YpTk3w4qrwoBFlf,3.04e-05,0.376,289557,0.941,0.000338,0,0.259,-3.839,1,0.0661,154.964,4,0.236,30,30.0,2019,0
528,5dIXYHHvWQPltpinQu2Cos,0.0231,0.374,292353,0.8490000000000001,0.267,5,0.335,-6.812,0,0.0437,177.768,4,0.644,36,46.0,2019,0
531,2BjX0EYypxakiidBW18QmC,0.96,0.424,323640,0.0301,0.0299,0,0.21,-15.316,0,0.0483,67.541,4,0.349,55,42.0,2019,0
534,3eI3DS4MyOBMwJ40NmccM7,0.00493,0.235,242500,0.72,0.158,1,0.15,-6.733,1,0.0378,175.024,4,0.21600000000000005,40,41.0,2019,0
535,4qBNil5tBE3ZWiu1zojXbM,0.361,0.897,295613,0.536,0.006790000000000001,0,0.131,-8.905,1,0.0286,104.982,4,0.963,4,58.0,2019,0
536,5pvZGipNqXbamr7K8TVolA,0.000361,0.385,200765,0.951,7.390000000000001e-05,10,0.455,-3.09,0,0.125,89.838,4,0.423,56,55.5,2019,0
537,5bJW3GFEgVklsym3fmCCaL,0.000207,0.55,204253,0.936,2.67e-06,8,0.302,-2.8760000000000003,1,0.078,158.02,4,0.767,55,56.0,2018,0
539,4ZJQANWp7aZb66DRMVg8SA,1.1e-05,0.481,261680,0.889,0.00628,1,0.0967,-8.109,0,0.0553,85.01100000000002,4,0.325,47,44.0,2019,0
542,4KTgD62vgozCfk2Inbo9fm,0.000348,0.5660000000000001,222461,0.8859999999999999,0.0,0,0.494,-3.63,1,0.0902,130.066,4,0.619,8,69.0,2019,0
548,7yofpPY2IUuGGiCEEKy1W1,0.00385,0.453,257555,0.688,0.000157,8,0.0805,-7.818,1,0.0321,87.54,4,0.345,49,58.0,2019,0
551,5JThFNIo27sIaFDp3iw3OV,4.85e-05,0.381,186849,0.956,0.945,8,0.117,-4.6,1,0.057,145.768,4,0.555,2,32.0,2019,0
555,4cG4S3LHdqibrEXgj87ZNx,0.928,0.508,348253,0.162,0.418,7,0.101,-12.7,0,0.0302,71.541,4,0.38,55,42.0,2019,0
557,5LV0oQV98daZAUoWnQEW6N,0.0108,0.528,187371,0.861,0.0,2,0.268,-4.309,1,0.0518,95.02,4,0.591,63,66.0,2018,0
558,4oU07qd2sv9NxW61Op66Jh,0.984,0.439,261415,0.0554,0.003820000000000001,3,0.111,-15.183,1,0.0349,101.015,4,0.17800000000000002,57,47.3333333333333,2018,0
564,10AvU1MdYQcakqtbErtkJa,0.298,0.57,205453,0.667,0.00812,5,0.185,-6.089,1,0.0644,147.906,4,0.428,51,66.5,2019,0
566,1CaBFUQkektA5qAl7QwO1N,0.0335,0.852,123200,0.8390000000000001,0.0,1,0.17600000000000002,-4.6530000000000005,1,0.206,100.016,4,0.484,56,70.0,2019,0
568,2qFfzogwpfL2HAo2q28NdP,0.278,0.65,218746,0.63,8.55e-05,11,0.119,-6.787000000000001,0,0.04,107.69,4,0.74,37,33.0,2019,0
572,6q7x8MeeUBLG82hYjmaIlV,0.927,0.0829,189188,0.203,0.894,7,0.107,-16.043,1,0.04,170.632,5,0.0331,0,5.0,2019,0
574,5NJvYCIEog9GpRXICeBENB,3.77e-05,0.165,222000,0.971,0.151,7,0.0954,-5.942,1,0.171,82.565,4,0.14300000000000002,31,26.0,2019,0
575,3ojlZUEkinb7XA4tZuvx3y,3.73e-06,0.457,255685,0.973,3.16e-06,11,0.311,-4.146,0,0.0709,105.015,4,0.379,5,44.0,2019,0
576,0zkyryPUZwWESISqfWzuiC,3.04e-05,0.517,278382,0.95,4.39e-05,5,0.449,-5.975,0,0.069,105.995,4,0.326,28,44.0,2019,0
577,59YmKJMicBGgMuP7DAPv7x,0.000325,0.405,287000,0.9,0.233,9,0.33,-5.205,0,0.0546,140.056,4,0.146,43,32.0,2019,0
579,2hGEmiZnMqj683DUd11mKS,0.000105,0.473,261000,0.911,0.145,9,0.0704,-3.843,0,0.0748,131.995,4,0.386,0,25.0,2019,0
581,4cMvigyjmAJwfvTM9uSw4c,0.984,0.652,189708,0.184,0.895,9,0.0895,-16.767,0,0.0687,73.24,4,0.235,0,22.0,2019,0
583,6LrZnsh8bhn70OEnDqXskh,0.00358,0.623,209537,0.5820000000000001,0.0,5,0.14400000000000002,-8.627,0,0.0493,143.809,4,0.265,63,61.0,2019,0
